casename,A_true,n_true,a_true,alpha,beta,A_est,n_est,a_est,alpha_est,beta_est
case52,800.0,1.1,50.0,0.3,0.5,792.1318271144979,1.1038077004717248,49.080265714630535,0.31193971426701894,0.49262313239320293
case53,800.0,1.1,50.0,0.3,0.6,791.6786637573405,1.1037991776253613,49.03993802049647,0.3120412755927294,0.5923507339606676
case54,800.0,1.1,50.0,0.3,0.7,791.2513432882928,1.1035097818640267,49.01564094292156,0.3117423686464355,0.6926003030659389
case55,800.0,1.1,50.0,0.3,0.8,790.8989146683901,1.1027639928519544,49.02171534437218,0.3108240117173759,0.7937508081707344
case56,800.0,1.1,50.0,0.3,0.9,790.5156813022046,1.1018942818723094,49.03087175975689,0.30930834231397253,0.8959049618774515
case57,800.0,1.1,50.0,0.4,-0.9,799.3443777785651,1.100329882680824,49.92183634623936,0.4061277540165218,-0.8999461156903779
case58,800.0,1.1,50.0,0.4,-0.8,798.6311000279516,1.1011840116137104,49.810553959767134,0.4039303041363129,-0.7982584583318636
case59,800.0,1.1,50.0,0.4,-0.7,797.9717043745032,1.1017612670336323,49.72101014176889,0.40133652052263796,-0.6959580515352509
case60,800.0,1.1,50.0,0.4,-0.6,797.3407397033436,1.1021789403795148,49.64286341713355,0.39723420230675094,-0.5920070057828646
case61,800.0,1.1,50.0,0.4,-0.5,796.73480920295,1.1024851184979931,49.57271294548668,0.38581106467322995,-0.48068101259165213
case62,800.0,1.1,50.0,0.4,-0.4,796.1491956434564,1.1026777138558592,49.5104497999437,0.6269990320077743,-0.6214854450155636
case63,800.0,1.1,50.0,0.4,-0.3,795.5863345069774,1.102776385155066,49.45462876780299,0.424768414173502,-0.3196507869285276
case64,800.0,1.1,50.0,0.4,-0.2,795.0334571999658,1.1028085165245936,49.40291185378639,0.4155535338479016,-0.21040423467641206
case65,800.0,1.1,50.0,0.4,-0.1,794.4849909349641,1.1028181696018051,49.35225960389595,0.4123663301024664,-0.10718530726490602
case66,800.0,1.1,50.0,0.4,-0.0,793.9314521970794,1.102852991571352,49.29909387331817,0.4108356133360282,-0.005635446846007634
case67,800.0,1.1,50.0,0.4,0.1,793.3653877961947,1.1029401394840979,49.24189624368444,0.4100988057842757,0.09507067895170616
case68,800.0,1.1,50.0,0.4,0.2,792.7628335015697,1.1031336992702812,49.174642183156415,0.4098228225364984,0.19524216960149848
